time;type;message
1633647779.361349;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647779.588191;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.227s)
1633647779.805446;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647779.82347;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647780.028878;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.223s)
1633647780.046922;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647780.250441;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.222s)
1633647780.267895;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647780.471942;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.222s)
1633647780.4893289;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647780.696764;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647780.715221;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647780.927365;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.231s)
1633647780.944586;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647781.144462;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647781.162554;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647781.470027;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.326s)
1633647781.486938;WARNING;Too close to object! Entering safety distance... [Follow-Mode]
1633647781.687124;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.217s)
1633647781.910142;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.223s)
1633647782.130123;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.220s)
1633647782.3524191;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.222s)
1633647782.574979;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.223s)
1633647782.800406;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647783.026931;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.227s)
1633647783.2526631;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.226s)
1633647783.4782321;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.226s)
1633647783.730793;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.253s)
1633647783.960747;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.230s)
1633647784.1859572;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.225s)
1633647784.422125;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.236s)
1633647784.655904;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.234s)
1633647784.8876002;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.232s)
1633647785.1192892;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.232s)
1633647785.363285;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.244s)
1633647785.60331;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.240s)
1633647785.850445;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.247s)
1633647786.0891242;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.239s)
1633647786.35396;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.265s)
1633647786.612702;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.259s)
1633647786.860493;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.248s)
1633647787.1067479;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.246s)
1633647787.3532329;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.246s)
1633647787.5957131;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.242s)
1633647787.8558211;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.260s)
1633647788.114752;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.259s)
1633647788.378036;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.263s)
1633647788.606463;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.228s)
1633647788.936233;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.330s)
1633647789.1606941;WARNING;Warning: One trajectory generation iteration took more than 0.150s (Actual calculation time: 0.224s)
